"Transaction_ID","IP_Address_Flag","Authentication_Method","Risk_Score","Is_Weekend"
"TXN_33553","0","Biometric","0.849","0"
"TXN_9427","0","Password","0.096","0"
"TXN_199","0","Biometric","0.840","0"
"TXN_12447","0","OTP","0.793","0"
"TXN_39489","0","Password","0.382","1"
"TXN_42724","0","OTP","0.050","0"
"TXN_10822","0","Password","0.087","0"
"TXN_49498","0","Biometric","0.533","0"
"TXN_4144","0","Biometric","0.135","1"
"TXN_36958","0","PIN","0.339","0"
"TXN_43106","0","PIN","0.643","0"
"TXN_38695","0","PIN","0.458","0"
"TXN_6188","0","OTP","0.584","0"
"TXN_1414","0","PIN","0.145","0"
"TXN_18471","0","OTP","0.079","1"
"TXN_29282","0","Password","0.225","0"
"TXN_15177","0","Biometric","0.114","1"
"TXN_34304","0","Biometric","0.343","0"
"TXN_12609","0","Password","0.444","1"
"TXN_12144","0","PIN","0.292","0"
"TXN_6113","0","PIN","0.131","1"
"TXN_15908","1","Password","0.863","1"
"TXN_821","0","PIN","0.788","1"
"TXN_15118","0","PIN","0.023","0"
"TXN_13466","0","Password","0.408","1"
"TXN_26497","0","Password","0.138","0"
"TXN_42111","0","Biometric","0.535","0"
"TXN_30188","0","PIN","0.255","1"
"TXN_37237","0","Password","0.478","0"
"TXN_33109","0","Biometric","0.410","0"
"TXN_36480","0","Password","0.966","0"
"TXN_24148","0","PIN","0.884","0"
"TXN_5503","0","Password","0.674","0"
"TXN_3918","0","OTP","0.547","1"
"TXN_38478","0","Biometric","0.656","0"
"TXN_21123","0","OTP","0.133","0"
"TXN_49717","0","OTP","0.792","1"
"TXN_42294","0","PIN","0.557","0"
"TXN_47609","0","Biometric","0.875","0"
"TXN_11076","0","Biometric","0.455","0"
"TXN_41514","0","PIN","0.320","1"
"TXN_22062","0","Biometric","0.806","1"
"TXN_9413","0","PIN","0.703","0"
"TXN_38340","0","Password","0.568","0"
"TXN_30263","0","Biometric","0.797","1"
"TXN_41252","0","PIN","0.782","0"
"TXN_14644","0","PIN","0.810","0"
"TXN_26335","0","Biometric","0.341","0"
"TXN_28102","0","Biometric","0.687","0"
"TXN_17523","0","Biometric","0.545","1"
"TXN_24712","0","OTP","0.318","1"
"TXN_40485","0","Password","0.954","0"
"TXN_3850","0","Biometric","0.140","0"
"TXN_40040","0","Password","0.185","1"
"TXN_15267","0","OTP","0.008","0"
"TXN_49146","0","Biometric","0.636","0"
"TXN_30001","0","OTP","0.937","0"
"TXN_45926","0","Password","0.743","0"
"TXN_43824","1","OTP","0.989","1"
"TXN_17240","0","Biometric","0.497","0"
"TXN_4892","0","Biometric","0.883","0"
"TXN_725","0","Biometric","0.319","0"
"TXN_22949","0","PIN","0.750","1"
"TXN_34657","0","Biometric","0.414","1"
"TXN_37213","0","OTP","0.457","0"
"TXN_20304","0","Password","0.609","0"
"TXN_15269","0","Password","0.198","0"
"TXN_22367","0","OTP","0.673","0"
"TXN_42684","0","Password","0.334","0"
"TXN_46734","0","PIN","0.005","0"
"TXN_11732","0","PIN","0.096","0"
"TXN_18619","0","Password","0.389","0"
"TXN_48492","1","PIN","0.322","0"
"TXN_26803","0","Password","0.649","0"
"TXN_44305","0","Password","0.271","0"
"TXN_47522","0","Biometric","0.717","0"
"TXN_32207","0","Password","0.272","1"
"TXN_2530","0","Password","0.269","0"
"TXN_17746","0","Biometric","0.850","0"
"TXN_8270","0","Biometric","0.165","1"
"TXN_15079","0","PIN","0.127","0"
"TXN_13624","0","OTP","0.944","0"
"TXN_30638","0","Biometric","0.739","0"
"TXN_30440","0","PIN","0.393","0"
"TXN_36056","0","PIN","0.690","0"
"TXN_42651","0","Password","0.465","1"
"TXN_36803","0","PIN","0.769","0"
"TXN_48224","0","Password","0.737","1"
"TXN_29226","0","OTP","0.456","0"
"TXN_5633","0","OTP","0.496","0"
"TXN_5987","0","OTP","0.306","1"
"TXN_48063","0","Password","0.182","0"
"TXN_1812","0","PIN","0.491","1"
"TXN_27578","0","Password","0.399","1"
"TXN_16823","0","Password","0.168","0"
"TXN_3928","0","OTP","0.690","0"
"TXN_37286","0","OTP","0.465","1"
"TXN_25045","0","Biometric","0.389","0"
"TXN_15727","0","Biometric","0.431","1"
"TXN_29600","0","PIN","0.602","0"
"TXN_10430","0","Password","0.895","0"
"TXN_25768","0","OTP","0.860","0"
"TXN_29103","0","PIN","0.212","1"
"TXN_36537","1","Password","0.427","0"
"TXN_39328","0","Biometric","0.988","1"
"TXN_35539","0","Password","0.349","0"
"TXN_28075","0","Password","0.513","0"
"TXN_17840","0","Password","0.659","0"
"TXN_27802","0","PIN","0.715","0"
"TXN_7682","0","Password","0.112","1"
"TXN_24279","0","Biometric","0.469","0"
"TXN_33070","0","PIN","0.664","0"
"TXN_35557","0","Password","0.327","0"
"TXN_37189","0","Password","0.443","1"
"TXN_47149","0","OTP","0.378","0"
"TXN_46915","0","Biometric","0.166","1"
"TXN_9801","0","OTP","0.141","1"
"TXN_38800","0","Biometric","0.307","0"
"TXN_24669","0","PIN","0.145","1"
"TXN_44233","0","Biometric","0.362","0"
"TXN_31919","0","Password","0.314","1"
"TXN_7134","0","OTP","0.642","0"
"TXN_33704","0","PIN","0.812","0"
"TXN_29660","0","Password","0.671","0"
"TXN_17893","0","PIN","0.694","0"
"TXN_22018","0","PIN","0.913","0"
"TXN_13538","0","OTP","0.760","0"
"TXN_43118","0","OTP","0.627","0"
"TXN_36420","0","Biometric","0.366","0"
"TXN_9405","0","PIN","0.046","1"
"TXN_13413","0","OTP","0.215","0"
"TXN_6720","1","PIN","0.163","1"
"TXN_15601","1","OTP","0.853","1"
"TXN_44743","0","PIN","0.361","1"
"TXN_31138","0","Password","0.610","0"
"TXN_2729","0","Password","0.004","0"
"TXN_38242","0","Biometric","0.858","0"
"TXN_29625","0","Password","0.564","0"
"TXN_47894","0","OTP","0.494","1"
"TXN_42090","0","Biometric","0.889","0"
"TXN_36399","0","OTP","0.762","0"
"TXN_6244","0","PIN","0.779","1"
"TXN_5545","0","Password","0.153","0"
"TXN_4064","0","OTP","0.951","0"
"TXN_12851","0","PIN","0.499","0"
"TXN_21802","0","Password","0.579","0"
"TXN_41163","0","PIN","0.655","0"
"TXN_6232","0","Biometric","0.239","0"
"TXN_3862","0","OTP","0.157","0"
"TXN_35094","0","Password","0.200","0"
"TXN_40195","0","Biometric","0.874","0"
"TXN_39250","0","OTP","0.443","0"
"TXN_6217","0","OTP","0.447","0"
"TXN_36775","0","Biometric","0.638","0"
"TXN_42976","0","OTP","0.978","1"
"TXN_48467","0","OTP","0.633","1"
"TXN_14831","0","Biometric","0.670","0"
"TXN_30092","0","PIN","0.340","0"
"TXN_8893","0","PIN","0.206","0"
"TXN_6020","0","Password","0.829","0"
"TXN_46088","0","OTP","0.764","0"
"TXN_15242","0","PIN","0.984","0"
"TXN_45307","0","PIN","0.367","0"
"TXN_26550","0","OTP","0.774","0"
"TXN_6034","0","OTP","0.195","0"
"TXN_7905","0","PIN","0.170","0"
"TXN_32225","0","Biometric","0.983","1"
"TXN_6017","0","PIN","0.941","0"
"TXN_21879","0","Biometric","0.498","1"
"TXN_2791","0","OTP","0.571","1"
"TXN_42605","0","Biometric","0.468","0"
"TXN_5823","0","Biometric","0.719","1"
"TXN_15387","0","OTP","0.032","0"
"TXN_29561","0","OTP","0.215","0"
"TXN_39475","0","Password","0.457","1"
"TXN_292","0","OTP","0.091","0"
"TXN_16957","1","OTP","0.096","0"
"TXN_30860","0","Password","0.279","0"
"TXN_14073","0","OTP","0.881","0"
"TXN_21856","0","OTP","0.080","0"
"TXN_22079","0","Biometric","0.521","1"
"TXN_17023","0","Password","0.884","0"
"TXN_8739","0","Biometric","0.975","1"
"TXN_15825","0","Password","0.281","0"
"TXN_2741","0","Password","0.339","0"
"TXN_18048","0","Biometric","0.666","0"
"TXN_49936","0","Biometric","0.604","0"
"TXN_17372","0","PIN","0.681","1"
"TXN_22021","0","PIN","0.877","0"
"TXN_46364","0","Password","0.218","0"
"TXN_23537","0","Biometric","0.714","1"
"TXN_45499","0","Password","0.839","0"
"TXN_40185","0","Biometric","0.575","0"
"TXN_9613","0","OTP","0.223","1"
"TXN_43281","1","Biometric","0.599","0"
"TXN_37891","0","OTP","0.067","0"
"TXN_26178","0","OTP","0.294","0"
"TXN_45892","0","PIN","0.569","0"
"TXN_20933","0","OTP","0.124","0"
